started
112,50,5,23:03:29
113,50,5,23:03:30
114,50,5,23:03:31
115,50,5,23:03:33
116,50,5,23:03:34
117,50,5,23:03:35
118,50,5,23:03:36
119,50,5,23:03:37
120,50,6,23:03:39
121,50,6,23:03:40
122,50,6,23:03:41
123,50,6,23:03:42
124,50,6,23:03:43
125,50,6,23:03:45
126,49,6,23:03:46
127,121,6,23:03:46
128,78,6,23:03:47
129,242,6,23:03:47
130,229,6,23:03:48
131,229,6,23:03:48
132,240,6,23:03:48
133,111,6,23:03:49
134,216,6,23:03:49
135,224,6,23:03:49
136,227,6,23:03:49
0,1,0,23:03:50
1,247,0,23:03:50
2,226,0,23:03:50
3,118,0,23:03:50
4,230,0,23:03:51
5,224,0,23:03:51
7,221,0,23:03:52
8,115,0,23:03:52
9,233,0,23:03:52
10,219,0,23:03:53
11,238,0,23:03:53
12,232,0,23:03:54
13,79,0,23:03:54
14,226,0,23:03:54
15,230,0,23:03:54
16,240,0,23:03:55
17,229,0,23:03:55
18,58,0,23:03:56
19,236,0,23:03:56
20,219,1,23:03:56
21,220,1,23:03:57
22,116,1,23:03:57
23,237,1,23:03:57
24,112,1,23:03:58
25,111,1,23:03:58
26,238,1,23:03:59
27,109,1,23:03:59
28,219,1,23:04:00
0,1,0,23:04:00
1,230,0,23:04:00
2,238,0,23:04:00
3,223,0,23:04:01
4,223,0,23:04:01
5,223,0,23:04:01
6,233,0,23:04:01
7,231,0,23:04:02
8,229,0,23:04:02
9,238,0,23:04:02
10,220,0,23:04:02
11,230,0,23:04:03
12,225,0,23:04:03
13,222,0,23:04:03
14,109,0,23:04:04
15,243,0,23:04:04
16,80,0,23:04:05
17,222,0,23:04:05
18,240,0,23:04:05
19,229,0,23:04:05
20,238,1,23:04:06
21,233,1,23:04:06
22,239,1,23:04:06
23,221,1,23:04:07
24,227,1,23:04:07
25,236,1,23:04:07
26,240,1,23:04:07
27,245,1,23:04:08
28,229,1,23:04:08
29,280,1,23:04:08
30,264,1,23:04:08
31,229,1,23:04:09
32,240,1,23:04:09
33,2,1,23:04:33
35,9,1,23:04:39
36,273,1,23:04:39
37,230,1,23:04:40
38,224,1,23:04:40
39,225,1,23:04:40
40,73,2,23:04:41
41,228,2,23:04:41
42,216,2,23:04:42
43,230,2,23:04:42
44,233,2,23:04:42
45,240,2,23:04:42
46,112,2,23:04:43
47,246,2,23:04:43
48,111,2,23:04:44
49,225,2,23:04:44
50,235,2,23:04:44
51,73,2,23:04:45
52,209,2,23:04:45
53,200,2,23:04:46
54,77,2,23:04:46
55,142,2,23:04:47
56,131,2,23:04:47
57,23,2,23:04:50
58,42,2,23:04:51
59,33,2,23:04:53
60,17,3,23:04:56
61,18,3,23:05:00
62,18,3,23:05:03
63,37,3,23:05:04
64,39,3,23:05:06
65,37,3,23:05:08
66,36,3,23:05:09
67,35,3,23:05:11
68,34,3,23:05:13
69,28,3,23:05:15
70,30,3,23:05:17
71,38,3,23:05:18
monitoring,undefined,undefined,23:05:19
72,47,3,23:05:20
73,38,3,23:05:21
74,38,3,23:05:23
75,37,3,23:05:24
76,37,3,23:05:26
77,36,3,23:05:28
78,36,3,23:05:29
79,35,3,23:05:31
80,35,4,23:05:33
81,34,4,23:05:34
rate_ok,undefined,undefined,23:05:34
82,34,4,23:05:36
rate_err,undefined,undefined,23:05:38
83,33,4,23:05:38
84,23,4,23:05:40
85,29,4,23:05:42
86,35,4,23:05:44
87,53,4,23:05:45
88,55,4,23:05:46
89,56,4,23:05:47
90,46,4,23:05:49
91,39,4,23:05:50
92,35,4,23:05:52
93,37,4,23:05:53
94,38,4,23:05:55
95,44,4,23:05:56
96,44,4,23:05:58
97,44,4,23:05:59
98,44,4,23:06:00
99,44,4,23:06:02
100,44,5,23:06:03
101,44,5,23:06:04
102,44,5,23:06:06
103,44,5,23:06:07
104,44,5,23:06:08
105,44,5,23:06:10
106,44,5,23:06:11
107,44,5,23:06:13
108,43,5,23:06:14
109,43,5,23:06:15
110,43,5,23:06:17
111,43,5,23:06:18
112,43,5,23:06:19
113,43,5,23:06:21
114,42,5,23:06:22
115,42,5,23:06:24
116,42,5,23:06:25
117,42,5,23:06:26
118,42,5,23:06:28
119,41,5,23:06:29
120,41,6,23:06:31
121,41,6,23:06:32
122,41,6,23:06:34
123,41,6,23:06:35
124,40,6,23:06:37
125,40,6,23:06:38
126,40,6,23:06:39
127,40,6,23:06:41
128,40,6,23:06:43
129,40,6,23:06:44
130,39,6,23:06:46
131,39,6,23:06:47
132,39,6,23:06:49
133,39,6,23:06:50
134,39,6,23:06:52
135,39,6,23:06:53
136,38,6,23:06:55
137,38,6,23:06:56
138,38,6,23:06:58
139,38,6,23:06:59
140,38,7,23:07:01
141,38,7,23:07:02
142,37,7,23:07:04
143,37,7,23:07:06
144,37,7,23:07:07
145,37,7,23:07:09
146,37,7,23:07:10
147,37,7,23:07:12
148,36,7,23:07:14
149,36,7,23:07:15
150,36,7,23:07:17
151,36,7,23:07:19
152,36,7,23:07:20
153,36,7,23:07:22
154,36,7,23:07:24
155,35,7,23:07:25
156,35,7,23:07:27
157,35,7,23:07:29
158,35,7,23:07:30
159,35,7,23:07:32
160,35,8,23:07:34
161,35,8,23:07:35
rate_ok,undefined,undefined,23:07:37
162,34,8,23:07:37
163,34,8,23:07:39
164,34,8,23:07:41
165,34,8,23:07:42
166,34,8,23:07:44
rate_err,undefined,undefined,23:07:47
167,18,8,23:07:47
168,42,8,23:07:49
169,44,8,23:07:50
170,44,8,23:07:51
171,44,8,23:07:53
172,44,8,23:07:54
173,44,8,23:07:55
174,44,8,23:07:57
175,44,8,23:07:58
176,44,8,23:07:59
177,44,8,23:08:01
178,44,8,23:08:02
179,45,8,23:08:03
180,45,9,23:08:05
181,45,9,23:08:06
182,44,9,23:08:07
183,44,9,23:08:09
184,44,9,23:08:10
185,44,9,23:08:11
186,44,9,23:08:13
187,44,9,23:08:14
188,44,9,23:08:15
189,44,9,23:08:17
190,44,9,23:08:18
191,44,9,23:08:19
192,44,9,23:08:21
193,44,9,23:08:22
194,44,9,23:08:24
195,44,9,23:08:25
196,44,9,23:08:26
197,44,9,23:08:28
198,44,9,23:08:29
199,44,9,23:08:30
200,44,10,23:08:32
201,43,10,23:08:33
202,43,10,23:08:34
203,43,10,23:08:36
204,43,10,23:08:37
205,43,10,23:08:38
206,43,10,23:08:40
207,43,10,23:08:41
208,43,10,23:08:43
209,43,10,23:08:44
210,43,10,23:08:45
211,43,10,23:08:47
212,43,10,23:08:48
213,43,10,23:08:50
214,43,10,23:08:51
215,43,10,23:08:52
216,42,10,23:08:54
217,42,10,23:08:55
218,42,10,23:08:57
219,42,10,23:08:58
220,42,11,23:08:59
221,42,11,23:09:01
222,42,11,23:09:02
223,42,11,23:09:04
224,42,11,23:09:05
225,42,11,23:09:06
226,42,11,23:09:08
227,42,11,23:09:09
228,41,11,23:09:11
229,41,11,23:09:12
230,41,11,23:09:14
231,41,11,23:09:15
232,41,11,23:09:16
233,41,11,23:09:18
234,41,11,23:09:19
235,41,11,23:09:21
236,41,11,23:09:22
237,41,11,23:09:24
238,41,11,23:09:25
239,41,11,23:09:27
240,41,12,23:09:28
241,41,12,23:09:29
242,41,12,23:09:31
243,41,12,23:09:32
244,41,12,23:09:34
245,41,12,23:09:35
246,40,12,23:09:37
247,40,12,23:09:38
248,40,12,23:09:40
249,40,12,23:09:41
250,40,12,23:09:43
251,40,12,23:09:44
252,40,12,23:09:46
253,41,12,23:09:47
254,40,12,23:09:48
255,40,12,23:09:50
256,40,12,23:09:51
257,50,12,23:09:53
258,37,12,23:09:54
259,41,12,23:09:56
260,41,13,23:09:57
261,2,13,23:10:17
262,284,13,23:10:17
263,40,13,23:10:19
264,38,13,23:10:20
265,38,13,23:10:22
266,38,13,23:10:24
267,38,13,23:10:25
268,38,13,23:10:27
269,46,13,23:10:28
270,54,13,23:10:29
271,56,13,23:10:30
272,57,13,23:10:31
273,28,13,23:10:33
274,54,13,23:10:34
275,55,13,23:10:35
